name,latitude,longitude
Gusterheim,47.23,14.60
Mühltal,47.22,14.58
Offenburg,47.24,14.60
Pöls,47.22,14.58
Pölshof,47.22,14.61
Paig,47.19,14.62
Paßhammer,47.21,14.63
Sauerbrunn,47.21,14.57
Thalheim,47.20,14.59
Thaling,47.23,14.56
Pusterwald,47.31,14.37
Auerling,47.15,14.67
Feeberg,47.15,14.68
Reifling,47.14,14.65
Kothgraben,47.10,14.84
Reisstraße,47.13,14.85
Pichlhofen,47.21,14.50
Sankt Georgen ob Judenburg,47.21,14.50
Scheiben,47.22,14.47
Wöll,47.20,14.53
Sankt Johann,47.36,14.47
Sankt Johann,47.36,14.48
Möderbrugg,47.28,14.48
Sankt Oswald,47.28,14.51
Feistritzgraben,47.16,14.60
Furth,47.19,14.60
Möschitzgraben,47.16,14.54
Mitterdorf,47.18,14.60
Pichl,47.20,14.57
Rach,47.17,14.59
Rothenthurm,47.18,14.61
Sankt Peter ob Judenburg,47.19,14.59
Frauenburg,47.21,14.44
Unzmarkt,47.20,14.44
Weißkirchen,47.15,14.74
Farrach,47.19,14.73
Neufisching,47.18,14.75
Neuzeltweg,47.19,14.74
Pfaffendorf,47.18,14.74
Zeltweg,47.19,14.75
Apfelberg,47.20,14.83
Landschach,47.20,14.83
Altendorf,47.26,14.89
Feistritz,47.27,14.89
Moos,47.27,14.88
Flatschach,47.22,14.75
Bischoffeld,47.27,14.70
Gaal,47.27,14.67
Gaalgraben,47.27,14.63
Graden,47.27,14.74
Ingering,47.27,14.69
Puchschachen,47.28,14.75
Schattenberg,47.27,14.69
Großlobming,47.19,14.81
Kleinlobming,47.15,14.85
Mitterlobming,47.17,14.81
Knittelfeld,47.21,14.83
Hautzenbichl,47.22,14.83
Kobenz,47.25,14.85
Neuhautzenbichl,47.22,14.82
Oberfarrach,47.28,14.83
Raßnitz,47.24,14.83
Reifersdorf,47.22,14.84
Unterfarrach,47.27,14.83
Glein,47.23,14.94
Mitterbach,47.20,14.87
Rachau,47.22,14.91
Fötschach,47.24,14.93
Gottsbach,47.24,14.89
Leistach,47.26,14.92
Pichl,47.26,14.92
Preg,47.28,14.93
Preggraben,47.27,14.97
Ritzendorf,47.23,14.87
Sankt Benedikten,47.24,14.88
Sankt Lorenzen,47.25,14.90
Schütt,47.27,14.92
Untermur,47.27,14.92
Feistritzgraben,47.31,14.86
Fentsch,47.26,14.87
Fressenberg,47.29,14.85
Greith,47.30,14.88
Hof,47.28,14.87
Kniepaß,47.31,14.87
Laas,47.29,14.90
Mitterfeld,47.27,14.87
Prankh,47.28,14.86
Sankt Marein,47.27,14.86
Sankt Martha,47.28,14.85
Wasserleith,47.29,14.86
Gobernitz,47.22,14.85
Kroisbach,47.22,14.86
Obermur,47.24,14.86
Sankt Margarethen,47.23,14.86
Ugendorf,47.23,14.87
Dürnberg,47.28,14.82
Hart,47.27,14.76
Neuhofen,47.27,14.80
Seckau,47.27,14.79
Sonnwenddorf,47.29,14.79
Einhörn,47.23,14.81
Ingering,47.22,14.79
Laing,47.19,14.77
Lind,47.20,14.78
Maßweg,47.22,14.79
Pausendorf,47.21,14.79
Sachendorf,47.22,14.80
Schönberg,47.23,14.76
Spielberg,47.21,14.78
Allerheiligen,46.91,15.55
Großfeiting,46.91,15.59
Kleinfeiting,46.92,15.60
Pesendorf,46.90,15.59
Pichla,46.90,15.60
Schwasdorf,46.91,15.58
Siebing,46.92,15.58
Arnfels,46.68,15.40
Maltschach,46.67,15.42
Ewitsch,46.71,15.60
Wielitsch,46.70,15.59
Zieregg,46.69,15.61
Breitenfeld,46.85,15.63
Ehrenhausen,46.73,15.58
Eichberg-Trautenburg,46.70,15.44
Kranach,46.72,15.51
Empersdorf,47.00,15.60
Liebensdorf,46.98,15.57
Gabersdorf,46.78,15.59
Landscha,46.76,15.58
Neudorf,46.79,15.59
Sajach,46.82,15.60
Eckberg,46.68,15.54
Gamlitz,46.72,15.55
Grubtal,46.73,15.54
Kranach,46.72,15.51
Labitschberg,46.73,15.51
Sernau,46.70,15.52
Steinbach,46.70,15.53
Fötschach,46.67,15.49
Glanz,46.66,15.53
Langegg,46.65,15.53
Pößnitz,46.65,15.51
Gleinstätten,46.75,15.37
Haslach,46.74,15.36
Prarath,46.74,15.34
Gralla,46.81,15.55
Burgstall,46.74,15.41
Goldes,46.74,15.40
Großklein,46.74,15.44
Mantrach,46.76,15.41
Mattelsberg,46.74,15.45
Nestelbach,46.74,15.46
Nestelberg,46.76,15.47
Oberfahrenbach,46.71,15.47
Hainsdorf,46.83,15.64
Matzelsdorf,46.87,15.47
Techensdorf,46.82,15.63
Heiligenkreuz,46.96,15.59
Heimschuh,46.76,15.49
Kittenberg,46.78,15.50
Muggenau,46.78,15.50
Nestelberg,46.76,15.47
Pernitsch,46.78,15.49
Unterfahrenbach,46.75,15.50
Flüssing,46.87,15.43
Hengsberg,46.87,15.45
Kehlsdorf,46.87,15.49
Komberg,46.87,15.46
Kühberg,46.69,15.33
Leitersdorf,46.81,15.64
Matzelsdorf,46.87,15.47
Schönberg,46.87,15.48
Schrötten,46.86,15.45
Grottenhof,46.80,15.52
Kaindorf,46.80,15.54
Kogelberg,46.79,15.51
Brudersegg,46.77,15.43
Einöd,46.77,15.45
Fresing,46.76,15.45
Gauitsch,46.79,15.47
Greith,46.79,15.44
Neurath,46.79,15.47
Steinriegel,46.78,15.45
Dexenberg,46.85,15.48
Göttling,46.84,15.51
Jöß,46.84,15.52
Lang,46.84,15.50
Langaberg,46.84,15.50
Schirka,46.83,15.49
Stangersdorf,46.85,15.51
Bachsdorf,46.84,15.55
Lebring,46.85,15.54
Sankt Margarethen,46.86,15.52
Leibnitz,46.78,15.54
Leutschach,46.67,15.47
Altenbach,46.67,15.34
Hardegg,46.67,15.38
Kitzelsdorf,46.69,15.38
Krast,46.68,15.38
Lieschen,46.67,15.31
Obergreith,46.72,15.34
Oberhaag,46.69,15.33
Obervogau,46.74,15.58
Dornach,46.77,15.35
Maierhof,46.76,15.40
Pistorf,46.77,15.37
Sausal,46.77,15.41
Badendorf,46.85,15.59
Edelsee,46.85,15.61
Gundersdorf,46.85,15.59
Haslach,46.85,15.58
Laubegg,46.83,15.60
Oberragnitz,46.86,15.59
Oedt,46.86,15.56
Ragnitz,46.84,15.59
Rohr,46.86,15.57
Ottenberg,46.69,15.59
Ratsch,46.69,15.57
Retznei,46.74,15.57
Unterlupitscheni,46.75,15.56
Brünngraben,46.79,15.40
Fantsch,46.79,15.36
Höch,46.79,15.42
Neudorf,46.81,15.40
Reith,46.79,15.39
Rettenberg,46.78,15.40
Sankt Andrä,46.79,15.38
Sausal,46.77,15.41
Baldau,46.87,15.59
Gerbersdorf,46.89,15.57
Kurzragnitz,46.89,15.60
Lappach,46.87,15.62
Prentern,46.89,15.58
Sankt Georgen,46.88,15.57
Stiefing,46.88,15.57
Stiefingberg,46.88,15.58
Eichberg,46.71,15.43
Gündorf,46.72,15.41
Narrath,46.72,15.42
Praratheregg,46.73,15.36
Radiga,46.72,15.40
Saggau,46.70,15.38
Sankt Johann,46.70,15.40
Untergreith,46.72,15.38
Flamberg,46.83,15.48
Grötsch,46.85,15.44
Greith,46.79,15.44
Lamperstätten,46.83,15.42
Mitteregg,46.80,15.44
Mollitsch,46.84,15.44
Oberjahring,46.82,15.46
Petzles,46.80,15.46
Sankt Nikolai,46.82,15.45
Unterjahring,46.81,15.47
Waldschach,46.82,15.44
Hütt,46.79,15.66
Leitersdorf,46.81,15.64
Marchtring,46.84,15.68
Sankt Nikolai ob Draßling,46.82,15.66
Sankt Ulrich,46.95,15.54
Wutschdorf,46.95,15.53
Labuttendorf,46.79,15.64
Lind,46.74,15.64
Lipsch,46.77,15.67
Neutersdorf,46.77,15.65
Rabenhof,46.75,15.64
Sankt Veit,46.75,15.63
Wagendorf,46.76,15.61
Großwalz,46.62,15.48
Remschnigg,46.66,15.41
Schloßberg,46.66,15.47
Oberlupitscheni,46.74,15.51
Rettenbach,46.76,15.53
Schönegg,46.75,15.51
Seggauberg,46.77,15.52
Graßnitzberg,46.70,15.61
Obegg,46.69,15.63
Spielfeld,46.71,15.63
Afram,46.89,15.54
Alla,46.87,15.56
Aug,46.88,15.53
Hart bei Wildon,46.88,15.55
Neudorf,46.89,15.56
Stocking,46.89,15.54
Sukdull,46.90,15.53
Gersdorf,46.72,15.64
Straß,46.73,15.63
Sulztal,46.68,15.56
Altenberg,46.80,15.50
Grössing,46.81,15.49
Maxlon,46.82,15.50
Neutillmitsch,46.81,15.55
Steingrub,46.79,15.49
Vogau,46.73,15.61
Aflenz,46.75,15.54
Hasendorf,46.80,15.58
Leitring,46.78,15.57
Wagna,46.77,15.56
Kainach,46.89,15.50
Lichendorf,46.88,15.48
Neudorf,46.90,15.49
Weitendorf,46.90,15.47
Wildon,46.89,15.51
Marchtring,46.84,15.68
Wölferberg,46.86,15.69
Wolfsberg,46.85,15.66
Eisenerz,47.54,14.88
Edling,47.40,15.00
Gößgraben,47.45,14.95
Gai,47.41,14.97
Gausendorf,47.41,14.99
Gimplach,47.43,14.98
Kurzheim,47.43,14.99
Oberdorf,47.44,14.97
Putzenberg,47.43,14.97
Schardorf,47.42,14.96
Töllach,47.41,14.97
Untergimplach,47.43,15.00
Unterkurzheim,47.43,15.00
Windischbühel,47.40,14.96
Hafning,47.44,15.00
Krumpen,47.45,14.98
Laintal,47.43,15.04
Rötz,47.46,15.03
Treffning,47.45,15.03
Hieflau,47.61,14.75
Jassingau,47.59,14.78
Kalwang,47.43,14.76
Pisching,47.42,14.75
Schattenberg,47.43,14.77
Sonnberg,47.43,14.74
Dirnsdorf,47.40,14.92
Glarsdorf,47.41,14.95
Kammern,47.39,14.90
Leims,47.38,14.88
Liesing,47.42,14.66
Mötschendorf,47.38,14.95
Mochl,47.41,14.94
Pfaffendorf,47.39,14.93
Seiz,47.39,14.93
Sparsbach,47.39,14.95
Wolfgruben,47.38,14.94
Kraubath,47.31,14.94
Kraubathgraben,47.33,14.91
Leising,47.30,14.93
Donawitz,47.38,15.07
Göß,47.36,15.10
Hinterberg,47.36,15.06
Judendorf,47.38,15.10
Eselberg,47.40,14.84
Liesingau,47.41,14.79
Magdwiesen,47.42,14.80
Mautern,47.40,14.82
Rannach,47.39,14.82
Reitingau,47.43,14.84
Niklasdorf,47.40,15.16
Köllach,47.40,15.16
Kletschach,47.42,15.15
Prentgraben,47.40,15.12
Proleb,47.40,15.13
Radmer,47.53,14.72
Brunn,47.34,15.00
Greith,47.33,15.00
Hinterlainsach,47.30,15.08
Jassing,47.35,15.03
Liesingtal,47.35,15.01
Sankt Michael,47.34,15.02
Vorderlainsach,47.33,15.02
Hessenberg,47.40,15.00
Sankt Peter-Freienstein,47.40,15.03
Tollinggraben,47.40,15.08
Traidersberg,47.39,15.02
Kaisersberg,47.33,14.98
Lobming,47.29,15.03
Niederdorf,47.31,14.97
Sankt Stefan ob Leoben,47.32,14.98
Zmöllach,47.34,14.97
Madstein,47.36,15.01
Stadlhof,47.37,15.00
Timmersdorf,47.38,14.96
Traboch,47.38,14.99
Trofaiach,47.43,15.01
Vordernberg,47.49,14.99
Liesing,47.42,14.66
Melling,47.45,14.69
Wald,47.45,14.67
Admont,47.58,14.46
Aigen,47.57,14.40
Krumau,47.58,14.48
Aich,47.42,13.82
Assach,47.43,13.84
Aich,47.42,13.82
Aigen,47.52,14.14
Aiglern,47.54,14.17
Fischern,47.54,14.19
Gatschen,47.50,14.14
Hohenberg,47.53,14.14
Ketten,47.53,14.15
Lantschern,47.51,14.14
Mitteregg,47.48,14.22
Quilk,47.50,14.15
Ritzmannsdorf,47.51,14.16
Sallaberg,47.52,14.11
Schlattham,47.51,14.12
Tachenberg,47.52,14.16
Vorberg,47.50,14.24
Altaussee,47.64,13.76
Fischerndorf,47.64,13.77
Lichtersberg,47.63,13.75
Lupitsch,47.63,13.73
Puchen,47.63,13.77
Altenmarkt,47.72,14.65
Eßling,47.71,14.68
Ardning,47.59,14.36
Frauenberg,47.59,14.40
Pürgschachen,47.58,14.33
Anger,47.61,13.81
Bad Aussee,47.61,13.78
Eselsbach,47.60,13.79
Gallhof,47.62,13.82
Gschlößl,47.60,13.83
Lerchenreith,47.61,13.77
Obertressen,47.62,13.78
Reitern,47.62,13.76
Reith,47.61,13.79
Sarstein,47.61,13.75
Unterkainisch,47.60,13.78
Donnersbach,47.46,14.13
Erlsberg,47.48,14.13
Fuchsberg,47.46,14.12
Furrach,47.44,14.15
Ilgenberg,47.45,14.14
Planneralm,47.40,14.20
Ritzenberg,47.47,14.12
Winklern,47.48,14.12
Donnersbachwald,47.38,14.12
Au,47.49,14.53
Gaishorn am See,47.49,14.55
Gams,47.67,14.79
Auberg,47.42,13.84
Gössenberg,47.41,13.83
Petersberg,47.40,13.81
Gröbming,47.44,13.90
Großsölk,47.41,13.97
Archkogl,47.62,13.83
Bräuhof,47.63,13.84
Gößl,47.63,13.89
Mosern,47.62,13.82
Untertressen,47.62,13.80
Hall,47.60,14.46
Birnberg,47.41,13.73
Ennsling,47.41,13.79
Gumpenberg,47.40,13.79
Haus,47.41,13.77
Lehen,47.40,13.73
Oberhaus,47.40,13.74
Oberhausberg,47.40,13.75
Weißenbach,47.42,13.78
Altirdning,47.50,14.09
Bleiberg,47.50,14.05
Falkenburg,47.50,14.10
Irdning,47.51,14.10
Kienach,47.49,14.09
Raumberg,47.49,14.10
Johnsbach,47.54,14.58
Kleinsölk,47.39,13.94
Großreifling,47.67,14.71
Kirchenlandl,47.65,14.73
Krippau,47.68,14.71
Lainbach,47.64,14.77
Mooslandl,47.65,14.76
Altlassing,47.53,14.27
Burgfried,47.53,14.30
Döllach,47.55,14.21
Fuchslucken,47.54,14.22
Gatschling,47.54,14.28
Heuberg,47.54,14.24
Moos,47.53,14.25
Neusiedl,47.54,14.25
Niedermoos,47.53,14.28
Schattenberg,47.53,14.23
Sonnberg,47.50,14.50
Spiegelsberg,47.55,14.23
Stein,47.54,14.21
Treschmitz,47.53,14.26
Trojach,47.54,14.24
Unterberg,47.53,14.24
Wieden,47.53,14.24
Liezen,47.57,14.24
Pyhrn,47.59,14.28
Reithtal,47.56,14.30
Michaelerberg,47.42,13.91
Pruggern,47.42,13.88
Gersdorf,47.45,13.95
Mitterberg,47.46,13.96
Salza,47.49,13.97
Strimitzen,47.47,13.99
Tipschern,47.48,13.96
Unterlengdorf,47.47,13.94
Bad Mitterndorf,47.56,13.93
Krungl,47.55,13.97
Neuhofen,47.55,13.94
Obersdorf,47.57,13.89
Rödschitz,47.56,13.92
Sonnenalm,47.57,13.91
Thörl,47.55,13.94
Zauchen,47.55,13.95
Gritschenberg,47.48,14.03
Niederöblarn,47.48,14.02
Straßerberg,47.48,14.04
Öblarn,47.46,13.99
Sonnberg,47.50,14.50
Oppenberg,47.49,14.27
Palfau,47.71,14.81
Gleiming,47.39,13.59
Pichl,47.39,13.61
Preunegg,47.37,13.61
Äußere Kainisch,47.57,13.84
Knoppen,47.57,13.87
Mühlreith,47.56,13.86
Pichl,47.57,13.86
Pruggern,47.42,13.88
Pürgg,47.53,14.07
Trautenfels,47.52,14.08
Unterburg,47.53,14.07
Untergrimming,47.53,14.06
Zlem,47.55,14.02
Ramsau,47.42,13.66
Fastenberg,47.39,13.70
Obertal,47.36,13.67
Rohrmoos,47.38,13.67
Untertal,47.38,13.67
Boder,47.52,14.37
Bruckmühl,47.53,14.34
Bärndorf,47.52,14.43
Büschendorf,47.52,14.39
Edlach,47.51,14.43
Klamm,47.52,14.32
Rottenmann,47.53,14.36
Sankt Georgen,47.52,14.38
Singsdorf,47.51,14.41
Strechau,47.52,14.32
Villmannsdorf,47.53,14.35
Bergerviertel,47.69,14.61
Oberreith,47.66,14.60
Reiflingviertel,47.68,14.65
Sankt Gallen,47.69,14.62
Diemlern,47.49,14.01
Oberlengdorf,47.47,13.94
Salza,47.49,13.97
Sankt Martin,47.49,13.98
Tipschern,47.48,13.96
Unterlengdorf,47.47,13.94
Sankt Nikolai,47.32,14.05
Klaus,47.73,15.01
Schladming,47.39,13.69
Neulassing,47.55,14.30
Selzthal,47.55,14.32
Versbichl,47.53,14.32
Niederhofen,47.54,14.12
Stainach,47.53,14.11
Furt,47.55,14.01
Klachau,47.55,14.01
Tauplitz,47.56,14.01
Tauplitzalm,47.56,14.01
Furth,47.47,14.62
Treglwang,47.48,14.59
Dietmannsdorf,47.50,14.48
Sankt Lorenzen,47.50,14.45
Schwarzenbach,47.49,14.47
Trieben,47.49,14.49
Bichl,47.71,14.63
Breitau,47.71,14.61
Oberlaussa,47.70,14.52
Unterlaussa,47.72,14.56
Weißenbach,47.70,14.63
Wolfsbachau,47.70,14.68
Weißenbach,47.57,14.21
Gstatterboden,47.59,14.64
Wenig,47.60,14.51
Wildalpen,47.66,14.99
Maitschern,47.55,14.14
Wörschach,47.55,14.15
Allerheiligen,47.48,15.41
Edelsdorf,47.48,15.46
Jasnitz,47.47,15.43
Leopersdorf,47.49,15.42
Sölsnitz,47.47,15.39
Wieden,47.47,15.40
Altenberg,47.68,15.65
Greith,47.66,15.64
Steinalpl,47.75,15.52
Auersbach,47.59,15.70
Eichhorntal,47.62,15.67
Ganz,47.58,15.68
Lambach,47.61,15.67
Schöneben,47.59,15.71
Kapellen,47.65,15.63
Raxen,47.66,15.70
Stojen,47.66,15.66
Kindberg,47.51,15.45
Alpl,47.51,15.64
Freßnitz,47.54,15.54
Freßnitzgraben,47.51,15.56
Krieglach,47.55,15.56
Krieglach-Schwöbing,47.55,15.59
Malleisten,47.58,15.55
Massing,47.60,15.54
Sommer,47.57,15.54
Feistritzberg,47.58,15.57
Hönigsberg,47.58,15.65
Langenwang,47.57,15.62
Langenwang-Schwöbing,47.54,15.60
Lechen,47.66,15.60
Mitterberg,47.57,15.60
Pretul,47.56,15.68
Traibach,47.52,15.63
Lutschaun,47.55,15.49
Mitterdorf,47.54,15.51
Mürzhofen,47.48,15.40
Dobrein,47.67,15.45
Frein,47.74,15.48
Kaltenbach,47.74,15.49
Lanau,47.67,15.51
Mürzsteg,47.68,15.49
Niederalpl,47.68,15.41
Scheiterboden,47.70,15.48
Tebrin,47.66,15.53
Auersbach,47.59,15.70
Edlach,47.61,15.70
Hönigsberg,47.58,15.65
Kohleben,47.63,15.66
Lambach,47.61,15.67
Mürzzuschlag,47.61,15.67
Pernreit,47.61,15.68
Schöneben,47.59,15.71
Alpl,47.51,15.64
Arzbach,47.65,15.59
Dorf,47.53,15.49
Krampen,47.67,15.55
Lechen,47.66,15.60
Neudörfl,47.55,15.57
Veitschbach,47.66,15.58
Spital,47.62,15.75
Steinhaus,47.62,15.79
Brandstatt,47.44,15.52
Dickenbach,47.44,15.52
Fladenbach,47.48,15.48
Fochnitz,47.47,15.55
Hollersbach,47.46,15.50
Possegg,47.46,15.56
Retsch,47.44,15.53
Sonnberg,47.48,15.49
Stanz,47.47,15.50
Traßnitz,47.46,15.49
Unteralm,47.47,15.51
Großveitsch,47.59,15.47
Niederaigen,47.57,15.50
Veitsch,47.58,15.49
Wartberg,47.53,15.49
Dürnstein,46.99,14.39
Wildbad Einöd,47.02,14.41
Frojach,47.13,14.31
Katsch an der Mur,47.14,14.28
Krakaudorf,47.18,14.02
Krakauhintermühlen,47.19,13.95
Krakauschatten,47.18,13.97
Kulm am Zirbitz,47.05,14.46
Laßnitz-Lambrecht,47.10,14.22
Laßnitz-Murau,47.09,14.20
Sankt Egidi,47.11,14.19
Baierdorf,47.19,14.13
Mariahof,47.10,14.40
Jakobsberg,47.04,14.51
Mühlen,47.03,14.51
Noreia,47.01,14.53
Sankt Veit in der Gegend,47.03,14.45
Murau,47.11,14.17
Neumarkt,47.07,14.43
Niederwölz,47.15,14.37
Oberwölz (Stadt),47.20,14.28
Vorstadt,47.06,14.29
Hinterburg,47.19,14.27
Krumegg,47.23,14.29
Raiming,47.18,14.33
Salchau,47.22,14.29
Schöttl,47.23,14.29
Perchau,47.11,14.46
Einach,47.09,13.94
Predlitz,47.07,13.92
Turrach,46.96,13.88
Freiberg,47.17,14.08
Ranten,47.16,14.08
Seebach,47.16,14.04
Rinegg,47.15,14.13
Sankt Blasen,47.10,14.30
Bodendorf,47.11,14.06
Lutzmannsdorf,47.11,14.08
Sankt Georgen ob Murau,47.10,14.10
Sankt Lorenzen ob Murau,47.10,14.09
Sankt Lambrecht,47.07,14.30
Feßnach,47.15,14.45
Puchfeld,47.12,14.44
Sankt Lorenzen,47.15,14.41
Sankt Georgen,47.07,14.44
Sankt Marein,47.07,14.43
Althofen,47.17,14.24
Feistritz,47.19,14.16
Kammersberg,47.19,14.20
Mitterdorf,47.19,14.17
Pöllau,47.21,14.18
Peterdorf,47.18,14.23
St. Peter,47.19,14.19
Lind,47.16,14.40
Scheifling,47.15,14.41
Baierdorf,47.19,14.13
Schöder,47.18,14.11
Schöderberg,47.19,14.08
Schönberg-Lachtal,47.19,14.35
Paal,47.08,13.98
Sonnberg,47.10,13.98
Stadl,47.09,13.98
Steindorf,47.09,13.99
Stolzalpe,47.12,14.19
Teufenbach,47.13,14.36
Triebendorf,47.13,14.24
Eselsberg,47.22,14.23
Mainhartsdorf,47.20,14.25
Winklern,47.20,14.24
Zeutschach,47.07,14.37
Bierbaum,46.83,15.79
Deutsch Goritz,46.75,15.83
Haselbach,46.76,15.87
Hofstätten,46.79,15.82
Krobathen,46.77,15.83
Oberspitz,46.76,15.85
Salsach,46.74,15.85
Schrötten,46.78,15.83
Unterspitz,46.76,15.84
Weixelbaum,46.74,15.87
Dietersdorf,46.81,15.81
Eichfeld,46.73,15.77
Hainsdorf-Brunnsee,46.74,15.72
Oberrakitsch,46.74,15.74
Diepersdorf,46.73,15.84
Fluttendorf,46.73,15.85
Gosdorf,46.73,15.80
Misselsdorf,46.71,15.79
Dietzen,46.71,15.95
Donnersdorf,46.73,15.88
Dornau,46.71,15.96
Drauchen,46.74,15.94
Halbenrain,46.72,15.95
Hürth,46.76,15.92
Oberpurkla,46.74,15.92
Unterpurkla,46.73,15.90
Hof,46.80,15.89
Karla,46.78,15.89
Neusetz,46.80,15.91
Radochen,46.76,15.89
Deutsch Haseldorf,46.78,15.98
Gruisla,46.77,15.98
Klöch,46.76,15.97
Klöchberg,46.76,15.95
Pölten,46.75,15.98
Landorf,46.82,15.71
Mettersdorf,46.80,15.71
Rannersdorf,46.80,15.71
Rohrbach,46.79,15.70
Zehensdorf,46.82,15.73
Mureck,46.71,15.77
Lichendorf,46.71,15.70
Oberschwarza,46.71,15.66
Seibersdorf,46.73,15.66
Unterschwarza,46.71,15.67
Weitersfeld,46.70,15.73
Bad Radkersburg,46.69,15.99
Altneudörfl,46.69,15.98
Dedenitz,46.69,16.03
Goritz,46.72,16.00
Hummersdorf,46.71,15.98
Laafeld,46.69,16.00
Pfarrsdorf,46.71,15.96
Pridahof,46.72,15.98
Sicheldorf,46.68,16.03
Zelting,46.71,16.02
Ratschendorf,46.74,15.82
Edla,46.80,15.78
Entschendorf,46.81,15.76
Oberrosenberg,46.79,15.73
Perbersdorf,46.81,15.80
Sankt Peter,46.80,15.76
Wiersdorf,46.83,15.76
Wittmannsdorf,46.78,15.77
Hart,46.78,15.86
Kronnersdorf,46.81,15.85
Marktl,46.80,15.88
Nägelsdorf,46.79,15.84
Schwabau,46.81,15.85
Straden,46.81,15.87
Waasen am Berg,46.82,15.85
Waldprecht,46.78,15.87
Wieden-Klausen,46.79,15.85
Größing,46.80,15.93
Jörgen,46.77,15.94
Laasen,46.78,15.92
Patzen,46.78,15.94
Pichla,46.79,15.95
Tieschen,46.79,15.95
Trössing,46.83,15.82
Perbersdorf,46.76,15.68
Pichla,46.73,15.71
Priebing,46.76,15.74
Siebing,46.77,15.71
Weinburg,46.75,15.72
Bärnbach,47.07,15.13
Hochtregist,47.09,15.14
Edelschrott,47.02,15.05
Kreuzberg,47.03,15.01
Gallmannsegg,47.16,15.10
Hadergasse,47.18,15.11
Eggartsberg,47.13,15.16
Geistthal,47.17,15.17
Kleinalpe,47.18,15.16
Sonnleiten,47.15,15.13
Hochgößnitz,47.05,14.99
Niedergößnitz,47.05,15.02
Graden,47.13,15.03
Breitenbach,47.15,15.06
Kainach,47.14,15.09
Oswaldgraben,47.16,15.06
Gradenberg,47.10,15.03
Köflach,47.06,15.08
Piber,47.08,15.10
Pichling,47.05,15.07
Puchbach,47.05,15.05
Hemmerberg,47.12,15.11
Kohlschwarz,47.11,15.13
Gaisfeld,47.02,15.20
Gasselberg,47.03,15.20
Kleingaisfeld,47.02,15.22
Krottendorf,46.99,15.21
Muggauberg,47.04,15.22
Dietenberg,47.00,15.22
Grabenwarth,46.98,15.23
Ligist Markt,46.98,15.28
Ligistberg,47.00,15.20
Oberwald,46.97,15.18
Steinberg,46.97,15.21
Unterwald,46.99,15.16
Kemetberg,47.07,15.02
Kirchberg,47.08,15.05
Maria Lankowitz,47.06,15.06
Modriach,46.96,15.06
Bubendorf,46.99,15.25
Fluttendorf,46.98,15.28
Gießenberg,46.96,15.30
Kniezenberg,46.97,15.28
Mooskirchen,46.99,15.28
Neudorf,46.97,15.30
Rauchegg,46.97,15.24
Rubmannsberg,46.98,15.25
Stögersdorf,46.99,15.26
Pack,46.98,14.98
Piberegg,47.11,15.07
Rosental,47.06,15.11
Salla,47.11,14.97
Hallersdorf,47.00,15.24
Hausdorf,47.03,15.26
Köppling,47.01,15.24
Moosing,47.00,15.26
Muggauberg,47.04,15.22
Neudorf,47.02,15.25
Sankt Johann ob Hohenburg,47.01,15.23
Großwöllmiß,47.01,15.14
Kleinwöllmiß,47.02,15.12
Sankt Martin,47.01,15.11
Großsöding,47.00,15.29
Kleinsöding,47.00,15.29
Pichling,47.01,15.27
Södingberg,47.11,15.17
Aichegg,47.06,15.20
Bernau,47.04,15.24
Hausdorf,47.03,15.26
Kalchberg,47.06,15.25
Muggauberg,47.04,15.22
Raßberg,47.07,15.24
Stallhofen,47.05,15.22
Voitsberg,47.05,15.15
Albersdorf,47.13,15.70
Kalch,47.15,15.73
Postelgraben,47.14,15.71
Prebuch,47.16,15.73
Wollsdorferegg,47.14,15.70
Anger,47.27,15.69
Arzberg,47.25,15.52
Baierdorf,47.28,15.71
Fresen,47.27,15.71
Birkfeld,47.35,15.69
Etzersdorf,47.20,15.69
Lohngraben,47.17,15.71
Rollsdorf,47.18,15.71
Oberfeistritz,47.26,15.71
Viertelfeistritz,47.26,15.69
Falkenstein,47.46,15.69
Fischbach,47.44,15.65
Völlegg,47.44,15.62
Fladnitz,47.29,15.48
Fladnitz-Tober,47.28,15.49
Fladnitzberg,47.30,15.48
Schrems,47.28,15.47
Teichalm,47.35,15.47
Floing,47.26,15.75
Lebing,47.25,15.73
Unterfeistritz,47.24,15.73
Amassegg,47.38,15.58
Gasen,47.38,15.58
Mitterbach,47.38,15.57
Sonnleitberg,47.39,15.56
Gersdorf,47.16,15.85
Gschmaier,47.14,15.86
Hartensdorf,47.17,15.84
Gleisdorf,47.10,15.71
Gschaid,47.35,15.70
Garrach,47.22,15.54
Kleinsemmering,47.19,15.58
Bärnbach,47.04,15.87
Markt Hartmannsdorf,47.05,15.84
Oed,47.05,15.87
Pöllau,47.07,15.80
Reith,47.04,15.85
Haslau,47.36,15.65
Hirnsdorf,47.19,15.83
Hofstätten,47.08,15.75
Pirching,47.09,15.74
Wetzawinkel,47.09,15.77
Wünschendorf,47.10,15.72
Auen,47.28,15.54
Haufenreith,47.27,15.55
Hohenau,47.30,15.55
Krammersdorf,47.29,15.55
Großpesendorf,47.15,15.76
Neudorf,47.16,15.75
Nitschaberg,47.13,15.78
Prebensdorf,47.14,15.78
Wolfgruben,47.13,15.76
Aschau,47.35,15.67
Rabendorf,47.32,15.71
Rossegg,47.31,15.67
Sallegg,47.34,15.66
