name,latitude,longitude
Korbin,46.77,15.27
Moos,46.77,15.26
Poppenforst,46.78,15.26
Sankt Peter,46.76,15.25
Wieden,46.77,15.25
Lemsitz,46.92,15.25
Lichtenhof,46.92,15.26
Pirkhof,46.94,15.29
Sankt Stefan,46.93,15.26
Zirknitz,46.95,15.26
Mainsdorf,46.77,15.20
Schwanberg,46.76,15.20
Soboth,46.68,15.08
Gamsgebirg,46.89,15.24
Kothvogel,46.89,15.24
Neurath,46.89,15.24
Stainz,46.89,15.26
Grafendorf,46.88,15.32
Graggerer,46.88,15.33
Mettersdorf,46.87,15.34
Neudorf,46.86,15.32
Wetzelsdorf,46.88,15.35
Wetzelsdorfberg,46.89,15.36
Stallhof,46.89,15.28
Dietmannsdorf,46.75,15.32
Gasselsdorf,46.74,15.32
Graschach,46.75,15.33
Kopreinigg,46.71,15.32
Pitschgauegg,46.71,15.30
Tombach,46.71,15.32
Kruckenberg,46.80,15.19
Rostock,46.83,15.10
Trahütten,46.82,15.15
Grub,46.81,15.30
Hasreith,46.79,15.30
Mönichgleinz,46.80,15.35
Michlgleinz,46.81,15.36
Nassau,46.81,15.34
Sulzhof,46.79,15.33
Unterbergla,46.81,15.32
Buchenberg,46.72,15.16
Kogl,46.72,15.21
Pörbach,46.71,15.22
Wernersdorf,46.72,15.21
Lassenberg,46.82,15.37
Schönaich,46.84,15.37
Weniggleinz,46.81,15.39
Wettmannstätten,46.83,15.38
Wohlsdorf,46.84,15.38
Zehndorf,46.84,15.41
Unterfresen,46.73,15.18
Wiel,46.73,15.13
Altenmarkt,46.71,15.26
Aug,46.72,15.28
Buchegg,46.74,15.26
Etzendorf,46.73,15.24
Gaißeregg,46.73,15.25
Gieselegg,46.74,15.26
Lamberg,46.73,15.27
Vordersdorf,46.72,15.23
Wies,46.72,15.27
Auersbach,47.02,15.86
Wetzelsdorf,46.99,15.87
Aug,46.84,15.80
Radisch,46.85,15.78
Bad Gleichenberg,46.88,15.91
Gleichenberg,46.89,15.90
Klausen,46.90,15.90
Bairisch Kölldorf,46.87,15.93
Badenbrunn,46.90,15.77
Baumgarten,46.92,15.76
Wörth,46.90,15.77
Breitenfeld,47.03,15.96
Neustift,46.86,15.99
Sankt Kind,47.05,15.94
Edelsbach,46.99,15.84
Kaag,47.01,15.83
Rohr,46.98,15.81
Edelstauden,46.98,15.63
Erbersdorf,47.01,15.77
Mitterfladnitz,47.01,15.80
Burgfeld,46.92,16.00
Fehring,46.94,16.01
Höflach,46.91,15.91
Petersdorf,46.92,16.03
Petzelsdorf,46.93,16.00
Schiefer,46.94,16.05
Feldbach,46.95,15.89
Fladnitz,46.99,15.79
Frannach,46.91,15.63
Manning,46.90,15.63
Oberlabill,46.93,15.62
Frutten,46.82,15.93
Gießelsdorf,46.83,15.94
Hochstraden,46.84,15.95
Glojach,46.87,15.68
Burgfried,46.88,15.83
Fischa,46.90,15.82
Gnas,46.87,15.83
Höf,46.90,15.83
Obergnas,46.89,15.79
Pernreith,46.92,15.83
Gniebing,46.96,15.85
Oberweißenbach,46.94,15.85
Paurach,46.97,15.84
Unterweißenbach,46.95,15.85
Edersgraben,46.93,15.93
Gossendorf,46.91,15.93
Höflach,46.91,15.91
Grabersdorf,46.84,15.82
Habegg,46.98,16.02
Hatzendorf,46.98,16.00
Oedgraben,47.00,16.01
Stang,46.99,15.98
Tiefenbach,47.01,15.98
Unterhatzendorf,46.97,16.02
Hohenbrugg,46.95,16.07
Weinberg,46.96,16.04
Grasdorf,46.84,15.73
Jagerberg,46.85,15.74
Jahrbach,46.87,15.73
Lugitsch,46.84,15.77
Oberzirknitz,46.87,15.75
Pöllau,46.93,15.83
Ungerdorf,46.85,15.72
Unterzirknitz,46.84,15.75
Wetzelsdorf,46.87,15.73
Brunn,46.95,16.01
Johnsdorf,46.95,15.98
Gutendorf,46.89,16.00
Haselbach,46.91,15.97
Kölldorf,46.87,15.96
Kapfenstein,46.89,15.98
Mahrensdorf,46.90,15.97
Neustift,46.86,15.99
Pichla,46.89,15.94
Glatzau,46.91,15.67
Kirchbach,46.93,15.66
Kleinfrannach,46.91,15.64
Maierhofen,46.92,15.68
Tagensdorf,46.90,15.68
Ziprein,46.90,15.67
Berndorf,46.97,15.79
Hof,46.98,15.75
Kirchberg,46.99,15.76
Wörth,46.97,15.77
Kohlberg,46.91,15.80
Bergl,46.99,15.92
Dörfl,46.98,15.88
Edelsgraben,46.97,15.95
Oberkornbach,46.97,15.94
Schützing,46.97,15.90
Grub,46.85,15.88
Krusdorf,46.84,15.86
Leitersdorf,46.94,15.93
Lödersdorf,46.96,15.95
Lödersdorf,46.97,15.98
Hirsdorf,46.91,15.86
Katzelsdorf,46.91,15.85
Kinsdorf,46.90,15.85
Ludersdorf,46.89,15.86
Maierdorf,46.89,15.85
Haag,46.85,15.90
Merkendorf,46.86,15.90
Steinbach,46.86,15.92
Waldsberg,46.85,15.89
Wilhelmsdorf,46.84,15.91
Mitterlabill,46.89,15.64
Unterlabill,46.88,15.64
Mühldorf,46.94,15.90
Obergiem,46.92,15.88
Oedt,46.93,15.87
Petersdorf,46.92,15.91
Reiting,46.92,15.87
Untergiem,46.93,15.89
Oberdorf,46.98,15.72
Radersdorf,47.00,15.72
Tiefernitz,46.98,15.70
Oberstorcha,46.97,15.79
Reith,46.96,15.81
Unterstorcha,46.96,15.82
Axbach,46.94,15.77
Häusla,46.95,15.75
Pöllau,46.93,15.83
Paldau,46.94,15.79
Puch,46.94,15.77
Saaz,46.95,15.83
Perlsdorf,46.92,15.82
Pertlstein,46.94,15.96
Petersdorf,46.99,15.69
Guggitzgraben,46.97,15.59
Kittenbach,46.94,15.63
Oberdorf,46.94,15.61
Pirching,46.95,15.60
Rettenbach,46.99,15.60
Ebersdorf,46.85,15.85
Katzendorf,46.88,15.85
Poppendorf,46.86,15.86
Raabau,46.96,15.91
Raning,46.86,15.82
Thien,46.86,15.80
Altenmarkt,47.00,15.92
Grub,47.03,15.93
Krennach,47.03,15.89
Lembach,47.02,15.94
Riegersburg,47.00,15.94
Schweinz,47.04,15.91
Aigen,46.82,15.98
Jamm,46.86,15.97
Klapping,46.81,15.97
Plesch,46.83,15.96
Risola,46.82,15.97
Sichauf,46.84,15.99
Waltra,46.85,15.97
Sankt Stefan,46.90,15.71
Maggau,46.86,15.66
Schwarzau,46.88,15.66
Seibuttendorf,46.86,15.65
Dirnbach,46.83,15.89
Karbach,46.81,15.89
Muggendorf,46.82,15.88
Stainz,46.82,15.90
Sulzbach,46.80,15.90
Siegersdorf,47.01,15.73
Studenzen,47.00,15.76
Hofstätten,46.89,15.87
Trautmannsdorf,46.87,15.88
Glatzental,46.88,15.78
Oberauersbach,46.88,15.76
Unterauersbach,46.87,15.77
Magland,46.97,16.08
Oberlamm,46.99,16.05
Unterlamm,46.98,16.06
Breitenbuch,46.96,15.67
Dörfla,46.94,15.67
Kittenbach,46.94,15.63
Maxendorf,46.95,15.68
Weißenbach,46.96,15.65
Zerlach,46.94,15.65
Altenmarkt,47.07,16.05
Speltenbach,47.07,16.07
Stadtbergen,47.04,16.04
Bierbaum,47.10,16.07
Bad Blumau,47.12,16.05
Jobst,47.10,16.02
Kleinsteinbach,47.13,16.06
Lindegg,47.12,16.00
Loimeth,47.12,16.03
Schwarzmannshofen,47.13,16.04
Speilbrunn,47.14,16.05
Burgau,47.14,16.10
Fürstenfeld,47.05,16.08
Großhartmannsdorf,47.14,15.93
Großsteinbach,47.15,15.90
Kroisbach,47.16,15.88
Großwilfersdorf,47.08,16.00
Hainfeld,47.07,15.97
Herrnberg,47.06,15.97
Maierhofbergen,47.05,16.01
Maierhofen,47.06,16.01
Radersdorf,47.07,15.98
Hainersdorf,47.11,15.95
Obgrün,47.12,15.93
Riegersdorf,47.10,15.97
Buchberg,47.10,15.93
Dörfl,47.09,15.91
Dambach,47.11,15.91
Ilz,47.09,15.93
Kalsdorf,47.09,15.96
Kleegraben,47.07,15.92
Leithen,47.13,15.89
Neudorf,47.08,15.94
Reigersberg,47.07,15.95
Dietersdorf,47.02,16.10
Gillersdorf,47.00,16.14
Loipersdorf,47.01,16.10
Eichberg,47.07,15.85
Hochenegg,47.08,15.87
Mutzenfeld,47.08,15.89
Nestelbach,47.09,15.88
Nestelberg,47.11,15.87
Breitenbach,47.06,15.91
Ottendorf,47.05,15.90
Walkersdorf,47.06,15.92
Ziegenberg,47.07,15.89
Aschbach,47.04,16.00
Kohlgraben,47.05,16.03
Ruppersdorf,47.04,15.98
Söchau,47.03,16.02
Tautendorf,47.02,16.00
Stein,47.00,16.08
Übersbach,47.02,16.06
Ebersdorf,47.01,16.03
Hartl,47.03,16.05
Rittschein,47.01,16.05
Attendorf,47.01,15.33
Attendorfberg,47.02,15.34
Mantscha,47.03,15.36
Södingberg,47.01,15.30
Schadendorfberg,47.00,15.31
Stein,47.01,15.31
Brodersdorf,47.11,15.65
Brodingberg,47.12,15.64
Haselbach,47.16,15.58
Arzwaldgraben,47.24,15.28
Deutschfeistritz,47.20,15.34
Himberg,47.21,15.29
Königgraben,47.19,15.32
Kleinstübing,47.18,15.32
Prenning,47.21,15.32
Stübinggraben,47.19,15.28
